workId, aired, genres
"37450","Oct 4, 2018 to Dec 27, 2018","Comedy, Supernatural, Romance, School"
"28735","Jan 9, 2016 to Apr 2, 2016","Drama, Historical, Josei"
"4565","Apr 22, 2009","Action, Mecha, Sci-Fi, Space, Super Power"
"4282","Aug 16, 2008","Action, Mystery, Supernatural, Drama, Romance, Thriller"
"35839","Jan 2, 2018 to Mar 27, 2018","Adventure, Seinen"
"5300","Jan 6, 2009 to Mar 31, 2009","Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
"33352","Jan 11, 2018 to Apr 5, 2018","Fantasy, Drama, Slice of Life"
"3297","Jan 8, 2008 to Apr 1, 2008","Fantasy, Sci-Fi, Shounen, Slice of Life"
"36259","Oct 7, 2017 to Mar 31, 2018","Comedy, Kids, Slice of Life"
"6114","Apr 7, 2010 to Sep 29, 2010","Drama, Historical, Seinen, Thriller"
"35851","Feb 24, 2018","Drama, Fantasy"
"35843","Oct 2, 2017 to Dec 25, 2017","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"11577","Apr 20, 2013","Sci-Fi, Drama"
"26055","Jan 10, 2015 to Jun 20, 2015","Action, Adventure, Drama, Shounen, Supernatural"
"33255","Jul 4, 2016 to Dec 26, 2016","Comedy, School, Shounen, Slice of Life, Supernatural"
"7472","Apr 24, 2010","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"578","Apr 16, 1988","Drama, Historical"
"38262","Oct 6, 2018 to Mar 30, 2019","Slice of Life, Comedy, Kids"
"12431","Apr 1, 2012 to Mar 22, 2014","Comedy, Sci-Fi, Seinen, Slice of Life, Space"
"31043","Jan 8, 2016 to Mar 25, 2016","Mystery, Psychological, Supernatural, Seinen"
"801","Jan 1, 2004 to Jan 8, 2005","Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen"
"170","Oct 16, 1993 to Mar 23, 1996","Comedy, Sports, Drama, School, Shounen"
"9989","Apr 15, 2011 to Jun 24, 2011","Slice of Life, Supernatural, Drama"
"10408","Sep 17, 2011","Drama, Romance, Shoujo, Supernatural"
"5028","Jan 10, 2009 to Jun 27, 2009","Comedy, Drama, Romance, Shounen, Sports"
"21","Oct 20, 1999 to ?","Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
"30709","Aug 20, 2015 to Aug 19, 2016","Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
"24415","Jan 11, 2015 to Jun 30, 2015","Comedy, Sports, School, Shounen"
"10165","Apr 3, 2011 to Sep 25, 2011","Slice of Life, Comedy, School, Shounen"
"35760","Jul 23, 2018 to Oct 15, 2018","Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power"
"28171","Apr 4, 2015 to Sep 26, 2015","Ecchi, School, Shounen"
