"workId","engName","synonymsName","jpName","episodes","genres"
"34612","The Disastrous Life of Saiki K. 2","Saiki Kusuo no Psi Nan 2","斉木楠雄のΨ難 2","24","Comedy, School, Shounen, Slice of Life, Supernatural"
"12365","Bakuman.","Bakuman Season 3","バクマン。","25","Comedy, Drama, Romance, Shounen"
"20583","Haikyu!!","High Kyuu!!, HQ!!","ハイキュー!!","25","Comedy, Drama, School, Shounen, Sports"
"19647","Hajime No Ippo: The Fighting!","Fighting Spirit: Rising, Hajime no Ippo 3","はじめの一歩 Rising","25","Comedy, Sports, Drama, Shounen"
"30484",\N,"Steins Gate Zero","シュタインズ・ゲート ゼロ","23","Sci-Fi, Thriller"
"7785","The Tatami Galaxy","Yojo-Han Shinwa Taikei, Yojou-Han Shinwa Taikei, Yojohan Shinwa Taikei","四畳半神話大系","11","Mystery, Comedy, Psychological, Romance"
"30654","Assassination Classroom Second Season","Ansatsu Kyoushitsu Season 2, Ansatsu Kyoushitsu Final Season","暗殺教室　第２期","25","Action, Comedy, School, Shounen"
"11741","Fate/Zero Season 2","Fate/Zero Second Season","フェイト/ゼロ 2ndシーズン","12","Action, Supernatural, Magic, Fantasy"
"31933","JoJo's Bizarre Adventure: Diamond is Unbreakable","JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, Diamond is not Crash","ジョジョの奇妙な冒険 ダイヤモンドは砕けない","39","Action, Adventure, Comedy, Supernatural, Drama, Shounen"
"10379","Natsume's Book of Friends Season 3","Natsume Yuujinchou Three, Natsume Yuujinchou 3, Natsume Yujincho 3","夏目友人帳 参","13","Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
"33674",\N,"NGNL Zero, NGNL the Movie","ノーゲーム・ノーライフ ゼロ","1","Game, Supernatural, Drama, Romance, Fantasy"
"22135","Ping Pong the Animation","PPTA","ピンポン THE ANIMATION","11","Drama, Psychological, Seinen, Sports"
"2921","Rocky Joe 2","Tomorrow's Joe 2","あしたのジョー２","47","Action, Drama, Shounen, Slice of Life, Sports"
"21329","The Shadow that Devours the Sun","Mushi-shi Tokubetsu-hen: Hihamu Kage","蟲師 特別篇「日蝕む翳」","1","Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen"
"32983","Natsume's Book of Friends Season 5","Natsume Yuujinchou Season 5, Natsume's Book of Friends Five","夏目友人帳 伍","11","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"37450","Rascal Does Not Dream of Bunny Girl Senpai","AoButa","青春ブタ野郎はバニーガール先輩の夢を見ない","13","Comedy, Supernatural, Romance, School"
"28735","Showa Genroku Rakugo Shinju","Showa and Genroku Era Lover's Suicide Through Rakugo","昭和元禄落語心中","13","Drama, Historical, Josei"
"4565","Gurren Lagann The Movie: The Lights in the Sky are Stars","Tengen Toppa Gurren Lagann Movie 2","天元突破グレンラガン 螺巌篇","1","Action, Mecha, Sci-Fi, Space, Super Power"
"4282","the Garden of sinners Chapter 5: Paradox Paradigm","Kara no Kyoukai: The Garden of Sinners Movie 5, Borderline of Emptiness: Paradox Spiral, The Garden of Sinners: Paradox Paradigm","劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』","1","Action, Mystery, Supernatural, Drama, Romance, Thriller"
"35839","A Place Further Than The Universe","Uchuu yori mo Tooi Basho, A Story That Leads to the Antarctica, Yorimoi","宇宙よりも遠い場所","13","Adventure, Seinen"
"5300","Natsume's Book of Friends Season 2","Natsume Yuujinchou Two, Natsume Yuujinchou 2, Natsume Yujincho 2","続 夏目友人帳","13","Drama, Fantasy, Shoujo, Slice of Life, Supernatural"
"33352","Violet Evergarden",\N,"ヴァイオレット・エヴァーガーデン","13","Fantasy, Drama, Slice of Life"
"3297","Aria The Origination","Aria Season 3","ARIA The ORIGINATION","13","Fantasy, Sci-Fi, Shounen, Slice of Life"
"36259","Pingu in the City",\N,"ピングー in ザ・シティ","26","Comedy, Kids, Slice of Life"
"6114","Rainbow","Rainbow: Nisha Rokubou no Shichinin","RAINBOW 二舎六房の七人","26","Drama, Historical, Seinen, Thriller"
"35851","Maquia: When the Promised Flower Blooms","Let's Decorate the Promised Flowers in the Morning of Farewells, SayoAsa","さよならの朝に約束の花をかざろう","1","Drama, Fantasy"
"35843","Gintama.: Slip Arc",\N,"銀魂。ポロリ編","13","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"11577","Steins;Gate: The Movie − Load Region of Déjà Vu","Steins Gate Movie","劇場版 シュタインズゲート 負荷領域のデジャヴ","1","Sci-Fi, Drama"
"26055","JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt","JoJo's Bizarre Adventure Part 3, JoJo's Bizarre Adventure: Stardust Crusaders - Egypt Arc","ジョジョの奇妙な冒険 スターダストクルセイダース","24","Action, Adventure, Drama, Shounen, Supernatural"
"33255","The Disastrous Life of Saiki K.","Saiki Kusuo no Psi Nan","斉木楠雄のΨ難","120","Comedy, School, Shounen, Slice of Life, Supernatural"
"7472","Gintama: The Movie","Gintama: Benizakura Arc - A New Retelling, Gintama Movie: Crimson Sakura Chapter New Edition, Gintama: Shin-yaku Benizakura-hen","劇場版 銀魂 新訳紅桜篇","1","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"578","Grave of the Fireflies","Tombstone for Fireflies","火垂るの墓","1","Drama, Historical"
"38262","Pingu in the City","Pingu in the City 2nd Season","ピングー in ザ・シティ","26","Slice of Life, Comedy, Kids"
"12431","Space Brothers","Uchuu Kyodai","宇宙兄弟","99","Comedy, Sci-Fi, Seinen, Slice of Life, Space"
"31043","ERASED","The Town Where Only I am Missing, BokuMachi","僕だけがいない街","12","Mystery, Psychological, Supernatural, Seinen"
"801","Ghost in the Shell: Stand Alone Complex 2nd GIG","Koukaku Kidoutai S.A.C. 2nd GIG, Ghost In The Shell S.A.C. 2nd GIG","攻殻機動隊 S.A.C. 2nd GIG","26","Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen"
"170","Slam Dunk",\N,"スラムダンク","101","Comedy, Sports, Drama, School, Shounen"
"9989","anohana: The Flower We Saw That Day","AnoHana, We Still Don't Know the Name of the Flower We Saw That Day.","あの日見た花の名前を僕達はまだ知らない。","11","Slice of Life, Supernatural, Drama"
"10408",\N,"Into the Forest of Fireflies' Light, The Light of a Firefly Forest","蛍火の杜へ","1","Drama, Romance, Shoujo, Supernatural"
"5028",\N,"Major 5th Season","メジャー","25","Comedy, Drama, Romance, Shounen, Sports"
"21","One Piece","OP","ONE PIECE",\N,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
"30709",\N,\N,"神様はじめました～過去編～","4","Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
"24415","Kuroko's Basketball 3","Kuroko no Basuke 3rd Season","黒子のバスケ","25","Comedy, Sports, School, Shounen"
"10165","Nichijou - My Ordinary Life","Everyday","日常","26","Slice of Life, Comedy, School, Shounen"
"35760","Attack on Titan Season 3",\N,"進撃の巨人 Season3","12","Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power"
"28171","Food Wars! Shokugeki no Soma","Shokugeki no Soma, Food Wars: Shokugeki no Soma","食戟のソーマ","24","Ecchi, School, Shounen"
"777","Hellsing Ultimate",\N,"HELLSING OVA","10","Action, Military, Horror, Supernatural, Vampire, Seinen"
"22535","Parasyte -the maxim-","Parasite, Parasitic Beasts, Parasyte","寄生獣 セイの格率","24","Action, Sci-Fi, Horror, Psychological, Drama, Seinen"
"35677","Liz and the Blue Bird","Gekijouban Hibike! Euphonium: Mizore to Nozomi no Monogatari, Hibike! Euphonium: The Story of Mizore and Nozomi, Hibike! Euphonium Movie: Mizore to Nozomi no Monogatari","リズと青い鳥","1","Drama, Music, School"
"24687","Mushishi Path of Thorns","Mushishi Zoku Shou Special, Mushi-shi Zoku Shou: Odoro no Michi, Mushishi Zoku Shou Episode 11 and 12, Mushishi Next Passage: Path of Thorns","蟲師 続章","1","Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural"
"10162","Bunny Drop","Usagi Drop","うさぎドロップ","11","Josei, Slice of Life"
"5205","the Garden of sinners Chapter 7: Murder Speculation Part B","Kara no Kyoukai: The Garden of Sinners Movie 7, Borderline of Emptiness: Murder Speculation (Part 2), The Garden of Sinners: ...not nothing heart","劇場版 空の境界 the Garden of sinners 第七章『殺人考察（後）』","1","Action, Mystery, Supernatural, Romance, Thriller"
"31812","Black Butler: Book of the Atlantic",\N,"劇場版 黒執事 Book of the Atlantic","1","Action, Comedy, Historical, Demons, Supernatural, Fantasy, Shounen"
"32182","Mob Psycho 100","Mob Psycho Hyaku, Mob Psycho One Hundred","モブサイコ100","12","Action, Slice of Life, Comedy, Supernatural"
"205","Samurai Champloo","SAMURAI CHAMPLOO","サムライチャンプルー","26","Action, Adventure, Comedy, Historical, Samurai, Shounen"
"5941","Cross Game",\N,"クロスゲーム","50","Comedy, Sports, Drama, Romance, School, Shounen"
"21899",\N,"Shinsengumi Douran Hen, Kabuki Chou Shitennou Hen, Kabuki-chou Devas Hen, Gintama: The Best of Gintama on Theater 2D","銀魂 よりぬき銀魂さんオンシアター2D","2","Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
"17389","Kingdom: Season 2","Kingdom Hisho Hen, Kingdom: Dai 2 Series","キングダム 第2シリーズ","39","Action, Military, Historical, Seinen"
"877","Nana",\N,"NANA [ナナ]","47","Music, Slice of Life, Comedy, Drama, Romance, Shoujo"
"32","Neon Genesis Evangelion: The End of Evangelion","Shinseiki Evangelion Gekijouban: The End of Evangelion","新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION","1","Sci-Fi, Dementia, Psychological, Drama, Mecha"
"16498","Attack on Titan","AoT","進撃の巨人","25","Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen"
"392","Yu Yu Hakusho: Ghost Files","Yu Yu Hakusho, Ghost Fighter, Poltergeist Report, YuYu Hakusho","幽☆遊☆白書","112","Action, Comedy, Demons, Supernatural, Martial Arts, Shounen"
"2251","Baccano!",\N,"バッカーノ！","13","Action, Mystery, Comedy, Historical, Supernatural"
"28805","The Boy and the Beast","Child of a Beast","バケモノの子","1","Adventure, Supernatural"
"10030","Bakuman.","Bakuman Season 2","バクマン。2ndシーズン","25","Comedy, Drama, Romance, Shounen"
"14397",\N,"Chihayafull 2","ちはやふる 2","25","Drama, Game, Josei, School, Slice of Life, Sports"
"32366",\N,"Gintama° OVA, Gintama: Love Incense Arc","銀魂　愛染香篇","2","Comedy, Parody"
"35557","Land of the Lustrous","Country of Jewels","宝石の国","12","Action, Drama, Fantasy, Mystery, Seinen"
"136","Hunter x Hunter","HxH","HUNTER×HUNTER（ハンター×ハンター）","62","Action, Adventure, Super Power, Fantasy, Shounen"
"16894","Kuroko's Basketball 2","Kuroko no Basuke 2nd Season","黒子のバスケ","25","Comedy, Sports, School, Shounen"
"36275",\N,\N,"夏目友人帳 陸 特別編","2","Slice of Life, Supernatural, Drama, Fantasy, Shoujo"
"22789","Barakamon","Barakamon","ばらかもん","12","Comedy, Slice of Life"
"467","Ghost in the Shell: Stand Alone Complex","Ghost in the Shell SAC, Koukaku Kidoutai: Stand Alone Complex","攻殻機動隊 STAND ALONE COMPLEX","26","Action, Military, Sci-Fi, Police, Mecha, Seinen"
"572","Nausicaä of the Valley of the Wind","Nausicaa of the Valley of the Wind, Kaze no Tani no Nausicaa, Warriors of the Wind","風の谷のナウシカ","1","Adventure, Fantasy"
"33","Berserk","Berserk: The Chronicles of Wind Blades, Sword-Wind Chronicle Berserk","剣風伝奇ベルセルク","25","Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
"11981","Puella Magi Madoka Magica the Movie: Rebellion","Mahou Shoujo Madoka Magika Movie 3, Magical Girl Madoka Magica Movie 3","劇場版 魔法少女まどか☆マギカ 叛逆の物語","1","Mystery, Psychological, Drama, Magic, Thriller"
"13125","From the New World","Shin Sekai yori","新世界より","25","Sci-Fi, Mystery, Horror, Psychological, Supernatural, Drama"
"35788","Food Wars! The Third Plate","Shokugeki no Soma 3rd Season, Shokugeki no Soma 3","食戟のソーマ 餐ノ皿","12","Ecchi, School, Shounen"
"7655",\N,"Major 6th Season","メジャー 第6シリーズ","25","Comedy, Drama, Shounen, Sports"
"2246","Mononoke",\N,"モノノ怪","12","Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen"
"31181","Owarimonogatari","End Story","終物語","12","Mystery, Comedy, Supernatural, Vampire"
"25777","Attack on Titan Season 2",\N,"進撃の巨人 Season2","12","Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power"
"31646","March comes in like a lion","Sangatsu no Lion","3月のライオン","22","Game, Slice of Life, Drama, Seinen"
"9260","Kizumonogatari Part 1: Tekketsu","Koyomi Vamp","傷物語〈Ⅰ鉄血篇〉","1","Mystery, Supernatural, Vampire"
"9756","Puella Magi Madoka Magica","Mahou Shoujo Madoka Magika, Magical Girl Madoka Magica","魔法少女まどか★マギカ","12","Drama, Magic, Psychological, Thriller"
"11917",\N,\N,"メジャー ワールドシリーズ編","2","Comedy, Drama, Shounen, Sports"
